Date,Time ofgreatest eclipse(Terrestrial Time),Saros,Type,Gamma,Magnitude,Centralduration(min:s),Location,Path width,Path width,Geographical area,Chart,Ref(s)
Date,Time ofgreatest eclipse(Terrestrial Time),Saros,Type,Gamma,Magnitude,Centralduration(min:s),Location,km,mi,Geographical area,Chart,Ref(s)
"March 29, 2025",10:48:36,149,Partial,1.0405,0.9376,—,61°06′N 77°06′W﻿ / ﻿61.1°N 77.1°W﻿ / 61.1; -77.1,—,—,"Partial: Northeastern United States, Eastern Canada, Greenland, Europe, Northwest Africa, Northern Russia",,[a][7]
"September 21, 2025",19:43:04,154,Partial,−1.0651,0.855,—,60°54′S 153°30′E﻿ / ﻿60.9°S 153.5°E﻿ / -60.9; 153.5,—,—,"Partial: Oceania, New Zealand, Antarctica",,[a][7]
"February 17, 2026",12:13:06,121,Annular,−0.9743,0.963,2:20,64°42′S 86°48′E﻿ / ﻿64.7°S 86.8°E﻿ / -64.7; 86.8,616,383,"Annular: AntarcticaPartial: Southern Argentina and Chile, Southern Africa, Antarctica",,[a][7]
"August 12, 2026",17:47:06,126,Total,0.8977,1.0386,2:18,65°12′N 25°12′W﻿ / ﻿65.2°N 25.2°W﻿ / 65.2; -25.2,294,183,"Total: Greenland, Iceland, Spain, Northeastern PortugalPartial: Northern North America, Europe, West Africa",,[a][7]
"February 6, 2027",16:00:48,131,Annular,−0.2952,0.9281,7:51,31°18′S 48°30′W﻿ / ﻿31.3°S 48.5°W﻿ / -31.3; -48.5,282,175,"Annular: Chile, Argentina, AtlanticPartial: South America, Antarctica, West and South Africa",,[a][7]
"August 2, 2027",10:07:50,136,Total,0.1421,1.079,6:23,25°30′N 33°12′E﻿ / ﻿25.5°N 33.2°E﻿ / 25.5; 33.2,258,160,"Total: Morocco, Spain, Algeria, Tunisia, Libya, Egypt, Saudi Arabia, Yemen, SomaliaPartial: Africa, Europe, Middle East, South Asia, Southeast Asia",,[a][7]
"January 26, 2028",15:08:59,141,Annular,0.3901,0.9208,10:27,3°00′N 51°30′W﻿ / ﻿3.0°N 51.5°W﻿ / 3.0; -51.5,323,201,"Annular: Ecuador, Peru, Colombia, Brazil, French Guiana, Portugal, SpainPartial: Central and Northern South America, Central America, Caribbean, Eastern North America, Western Europe, West Africa",,[a][7]
"July 22, 2028",02:56:40,146,Total,−0.6056,1.056,5:10,15°36′S 126°42′E﻿ / ﻿15.6°S 126.7°E﻿ / -15.6; 126.7,230,140,"Total: Australia, New ZealandPartial: Southeast Asia, Australia, Oceania",,[a][7]
"January 14, 2029",17:13:48,151,Partial,1.0553,0.8714,—,63°42′N 114°12′W﻿ / ﻿63.7°N 114.2°W﻿ / 63.7; -114.2,—,—,"Partial: North America, Central America",,[a][7]
"June 12, 2029",04:06:13,118,Partial,1.2943,0.4576,—,66°48′N 66°12′W﻿ / ﻿66.8°N 66.2°W﻿ / 66.8; -66.2,—,—,"Partial: Northern and Central Europe, Northern Russia, Greenland, Alaska, Northwestern Canada",,[a][7]
"July 11, 2029",15:37:19,156,Partial,−1.4191,0.2303,—,64°18′S 85°36′W﻿ / ﻿64.3°S 85.6°W﻿ / -64.3; -85.6,—,—,Partial: Southern Chile and Argentina,,[a][7]
"December 5, 2029",15:03:58,123,Partial,−1.0609,0.8911,—,67°30′S 135°42′E﻿ / ﻿67.5°S 135.7°E﻿ / -67.5; 135.7,—,—,"Partial: Extreme Southern Argentina and Chile, Antarctica",,[a][7]
"June 1, 2030",06:29:13,128,Annular,0.5626,0.9443,5:21,56°30′N 80°06′E﻿ / ﻿56.5°N 80.1°E﻿ / 56.5; 80.1,250,160,"Annular: Algeria, Tunisia, Libya, Malta, Greece, Turkey, Bulgaria, Ukraine, Russia, Kazakhstan, China, JapanPartial: North Africa, Europe, Asia, Alaska, Northern Canada",,[a][7]
"November 25, 2030",06:51:37,133,Total,−0.3867,1.0468,3:44,43°36′S 71°12′E﻿ / ﻿43.6°S 71.2°E﻿ / -43.6; 71.2,169,105,"Total: Namibia, Botswana, South Africa, Lesotho, AustraliaPartial: Central Africa, Southern Africa, Antarctica, Australia, Indonesia",,[a][7]
"May 21, 2031",07:16:04,138,Annular,−0.197,0.9589,5:26,8°54′N 71°42′E﻿ / ﻿8.9°N 71.7°E﻿ / 8.9; 71.7,152,94,"Annular: Angola, Zambia, Democratic Republic of the Congo, Tanzania, India, Sri Lanka, Andaman and Nicobar Islands, Thailand, Malaysia, IndonesiaPartial: Africa, Middle East, South Asia, Southeast Asia, Australia",,[a][8]
"November 14, 2031",21:07:31,143,Hybrid,0.3078,1.0106,1:08,0°36′S 137°36′W﻿ / ﻿0.6°S 137.6°W﻿ / -0.6; -137.6,38,24,"Annular: PanamaPartial: Oceania, Hawaii, Southern North America, Central America, Caribbean, Northwestern South America",,[a][8]
"May 9, 2032",13:26:42,148,Annular,−0.9375,0.9957,0:22,51°18′S 7°06′W﻿ / ﻿51.3°S 7.1°W﻿ / -51.3; -7.1,44,27,"Annular: NonePartial: Southern South America, Southern Africa",,[a][8]
"November 3, 2032",05:34:13,153,Partial,1.0643,0.8554,—,70°24′N 132°36′E﻿ / ﻿70.4°N 132.6°E﻿ / 70.4; 132.6,—,—,"Partial: Asia, Eastern Europe",,[a][8]
"March 30, 2033",18:02:36,120,Total,0.9778,1.0462,2:37,71°18′N 155°48′W﻿ / ﻿71.3°N 155.8°W﻿ / 71.3; -155.8,781,485,"Total: Russian Far East, AlaskaPartial: Eastern Russia, Hawaii, North America, Greenland, Iceland",,[a][8]
