Date,Time ofgreatest eclipse(Terrestrial Time),Saros,Type,Gamma,Magnitude,Centralduration(min:s),Location,Path width...9,Path width...10,Geographical area
2080-03-21,12:20:15,121,Partial,−1.0578,0.8734,—,60°54′S 85°54′E﻿ / ﻿60.9°S 85.9°E﻿ / -60.9; 85.9,—,—,"Partial: Antarctica, Southern Africa"
2080-09-13,16:38:09,126,Partial,1.0723,0.8743,—,61°06′N 25°48′E﻿ / ﻿61.1°N 25.8°E﻿ / 61.1; 25.8,—,—,"Partial: Northern North America, Europe, West Africa, North Africa"
2081-03-10,15:23:31,131,Annular,−0.3653,0.9304,7:36,22°24′S 36°42′W﻿ / ﻿22.4°S 36.7°W﻿ / -22.4; -36.7,277,172,"Annular: Chile, Argentina, Liberia, Côte d'Ivoire, Ghana, Togo, Benin, Nigeria, Cameroon, Western Central African RepublicPartial: South America, Antarctica, Africa, Southern Europe"
2081-09-03,09:07:31,136,Total,0.3378,1.072,5:33,24°36′N 53°36′E﻿ / ﻿24.6°N 53.6°E﻿ / 24.6; 53.6,247,153,"Total: France, Germany, Switzerland, Liechtenstein, Austria, Italy, Slovenia, Croatia, Hungary, Bosnia and Herzegovina, Serbia, Romania, Bulgaria, Turkey, Syria, Iraq, Bahrain, Kuwait, Western Iran, Qatar, United Arab Emirates, Eastern Saudi Arabia, Oman, Maldives, Southern IndonesiaPartial: Greenland, Europe, North Africa, Northeast Africa, the Middle East, Central Asia, South Asia, Southeast Asia"
2082-02-27,14:47:00,141,Annular,0.3361,0.9298,8:12,9°24′N 47°06′W﻿ / ﻿9.4°N 47.1°W﻿ / 9.4; -47.1,277,172,"Annular: Peru, Brazil, Suriname, French Guiana, Portugal, Spain, France, Switzerland, Italy, Southern Germany, Liechtenstein, Austria, Slovenia, Croatia, HungaryPartial: South America, Central America, Caribbean, Mexico, Southeastern United States, Eastern Canada, West Africa, North Africa, Greenland, Europe"
2082-08-24,01:16:21,146,Total,−0.4004,1.0452,4:01,10°18′S 151°48′E﻿ / ﻿10.3°S 151.8°E﻿ / -10.3; 151.8,163,101,"Total: Indonesia, Malaysia, Brunei, Papua New GuineaPartial: Southeast Asia, Australia, Oceania, Antarctica"
2083-02-16,18:06:36,151,Partial,1.017,0.9433,—,61°36′N 154°06′W﻿ / ﻿61.6°N 154.1°W﻿ / 61.6; -154.1,—,—,"Partial: Hawaii, North America"
2083-07-15,00:14:23,118,Partial,1.5465,0.0168,—,64°00′N 37°42′W﻿ / ﻿64.0°N 37.7°W﻿ / 64.0; -37.7,—,—,Partial: Greenland
2083-08-13,12:34:41,156,Partial,−1.2064,0.6146,—,62°06′S 67°30′W﻿ / ﻿62.1°S 67.5°W﻿ / -62.1; -67.5,—,—,"Partial: Southern and Central South America, Antarctica"
2084-01-07,17:30:23,123,Partial,−1.0715,0.8723,—,64°24′S 68°30′E﻿ / ﻿64.4°S 68.5°E﻿ / -64.4; 68.5,—,—,"Partial: Antarctica, Extreme Southern South America"
2084-07-03,01:50:26,128,Annular,0.8208,0.9421,4:25,75°00′N 169°06′W﻿ / ﻿75.0°N 169.1°W﻿ / 75.0; -169.1,377,234,"Annular: Russia, Alaska, Western Canada, Washington, Oregon, Idaho, California, Nevada, Utah, WyomingPartial: Scandinavia, East Asia, Russia, Hawaii, Western North America"
