Date,Time_of_greatest_eclipse_terrestrial_time,Saros,Type,Gamma,Magnitude,Central_duration_min_s,Latitude,Longitude,Path_width_km,Path_width_miles
2083-02-16,18:06:36,151,Partial,1.017,0.9433,—,61.6,-154.1,—,—
2083-07-15,00:14:23,118,Partial,1.5465,0.0168,—,64.0,-37.7,—,—
2083-08-13,12:34:41,156,Partial,−1.2064,0.6146,—,-62.1,-67.5,—,—
2084-01-07,17:30:23,123,Partial,−1.0715,0.8723,—,-64.4,68.5,—,—
2084-07-03,01:50:26,128,Annular,0.8208,0.9421,4:25,75.0,-169.1,377,234
2084-12-27,09:13:48,133,Total,−0.4094,1.0396,3:04,-47.3,47.7,146,91
2085-06-22,03:21:16,138,Annular,0.0452,0.9704,3:29,26.2,131.3,106,66
2085-12-16,22:37:48,143,Annular,0.2786,0.9971,0:19,-7.3,-160.8,10,6.2
2086-06-11,11:07:14,148,Total,−0.7215,1.0174,1:48,-23.2,12.5,86,53
2086-12-06,05:38:55,153,Partial,1.0194,0.9271,—,67.4,96.2,—,—
2087-05-02,18:04:42,120,Partial,1.1139,0.8011,—,70.3,127.6,—,—
2087-06-01,01:27:14,158,Partial,−1.4186,0.2146,—,-67.8,165.4,—,—
2087-10-26,11:46:57,125,Partial,−1.2882,0.4696,—,-71.0,-130.5,—,—
2088-04-21,10:31:49,130,Total,0.4135,1.0474,3:58,36.0,15.1,173,107
2088-10-14,14:48:05,135,Annular,−0.5349,0.9727,2:38,-39.7,-56.0,115,71
2089-04-10,22:44:42,140,Annular,−0.3319,0.9919,0:53,-10.2,-154.8,30,19
2089-10-04,01:15:23,145,Total,0.2167,1.0333,3:14,7.4,162.8,115,71
2090-03-31,03:38:08,150,Partial,−1.1028,0.7843,—,-72.1,-156.3,—,—
2090-09-23,16:56:36,155,Total,0.9157,1.0562,3:36,60.7,-40.5,463,288
2091-02-18,09:54:40,122,Partial,1.1779,0.6558,—,71.2,-17.8,—,—
2091-08-15,00:34:43,127,Total,−0.949,1.0216,1:38,-55.6,150.5,236,147
2092-02-07,15:10:20,132,Annular,0.4322,0.984,1:48,9.9,-48.7,62,39
2092-08-03,09:59:33,137,Annular,−0.2044,0.9794,2:31,5.6,30.3,75,47
2093-01-27,03:22:16,142,Total,−0.2737,1.034,2:58,-34.1,136.4,119,74
2093-07-23,12:32:04,147,Annular,0.5717,0.9463,5:11,54.6,1.3,241,150
2094-01-16,18:59:03,152,Total,−0.9333,1.0342,1:51,-84.8,-10.6,329,204
2094-06-13,00:22:11,119,Partial,−1.4613,0.1618,—,-65.3,-163.6,—,—
2094-07-12,13:24:35,157,Partial,1.3150,0.4224,—,68.0,152.8,—,—
2094-12-07,20:05:56,124,Partial,1.1547,0.7046,—,64.7,-95.0,—,—
2095-06-02,10:07:40,129,Total,−0.6396,1.0332,3:18,-16.7,37.2,145,90
2095-11-27,01:02:57,134,Annular,0.4903,0.933,8:47,7.2,169.8,285,177
2096-05-22,01:37:14,139,Total,0.1196,1.0737,6:07,27.3,153.4,241,150
2096-11-15,00:36:15,144,Annular,−0.20,0.9237,8:53,-29.7,163.3,294,183
2097-05-11,18:34:31,149,Total,0.8516,1.0538,3:10,67.4,-149.5,339,211
2097-11-04,02:01:25,154,Annular,−0.8926,0.9494,3:36,-65.8,86.8,411,255
2098-04-01,20:02:31,121,Partial,−1.1005,0.7984,—,-61.0,-38.1,—,—
2098-09-25,00:31:16,126,Partial,1.14,0.7871,—,61.1,-101.0,—,—
2098-10-24,10:36:11,164,Partial,−1.5407,0.0056,—,-61.8,-95.5,—,—
2099-03-21,22:54:32,131,Annular,−0.4016,0.93,7:32,-20.0,-149.0,275,171
2099-09-14,16:57:53,136,Total,0.3942,1.0684,5:18,23.4,-62.8,241,150
2100-03-10,22:28:11,141,Annular,0.3077,0.9338,7:29,12.0,-162.4,257,160
2100-09-04,08:49:20,146,Total,−0.3384,1.0402,3:32,-10.5,39.0,142,88
